;$FILEVERSION=1.1
;$STARTTIME=45937.0536003472
;
;   Start time: 07/10/2025 01:17:11.070.0
;   Generated by PCAN-View v5.3.0.942
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
  9634)     13833.0  Rx     1828F401  8  00 00 00 00 00 00 00 00 
  9635)     13833.0  Rx     1829F401  8  00 00 00 00 00 00 00 00 
  9636)     13833.8  Rx     182AF401  8  00 00 00 00 00 00 00 00 
  9637)     13834.4  Rx     182BF401  8  00 00 00 00 00 00 00 00 
  9638)     13835.4  Rx     182CF401  8  00 00 00 00 00 00 00 00 
  9639)     13835.5  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
  9640)     13868.5  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
  9641)     13868.5  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
  9642)     13869.4  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
  9643)     13869.5  Rx     1803F401  8  0C 95 08 07 8B 08 0C 00 
  9644)     13870.4  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
  9645)     13871.4  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
  9646)     13871.5  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
  9647)     13872.4  Rx     1807F401  8  00 01 5F A8 02 A0 7F 00 
  9648)     13872.4  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
  9649)     13873.9  Rx     1809F401  8  00 00 00 00 00 00 00 00 
  9650)     13874.0  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
  9651)     13874.2  Rx     1812F401  8  92 08 98 08 86 08 90 08 
  9652)     13874.8  Rx     18150181  8  00 00 00 00 00 00 00 00 
  9653)     13874.9  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
  9654)     13874.9  Rx     1814F401  8  94 08 91 08 91 08 94 08 
  9655)     13876.0  Rx     1815F401  8  94 08 92 08 95 08 8F 08 
  9656)     13876.9  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
  9657)     13877.0  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
  9658)     13877.1  Rx     18150281  8  00 00 00 00 00 00 00 00 
  9659)     13877.9  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
  9660)     13878.0  Rx     1819F401  8  92 08 90 08 93 08 93 08 
  9661)     13878.5  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
  9662)     13878.8  Rx     18130481  8  00 00 00 00 00 00 00 00 
  9663)     13879.5  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
  9664)     13879.6  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
  9665)     13880.2  Rx     1824F401  8  00 00 00 00 00 00 00 00 
  9666)     13881.3  Rx     1825F401  8  00 00 00 00 00 00 00 00 
  9667)     13881.3  Rx     1826F401  8  00 00 00 00 00 00 00 00 
  9668)     13882.1  Rx     18410181  8  00 00 00 00 00 00 00 00 
  9669)     13883.2  Rx     18110181  8  0C E7 0C EA 0C EA 0C EB 
  9670)     13883.2  Rx     1827F401  8  00 00 00 00 00 00 00 00 
  9671)     13883.4  Rx     1828F401  8  00 00 00 00 00 00 00 00 
  9672)     13883.5  Rx     1829F401  8  00 00 00 00 00 00 00 00 
  9673)     13884.5  Rx     182AF401  8  00 00 00 00 00 00 00 00 
  9674)     13884.9  Rx     18110281  8  0C E7 0C EA 0C E8 0C EC 
  9675)     13886.0  Rx     182BF401  8  00 00 00 00 00 00 00 00 
  9676)     13886.2  Rx     182CF401  8  00 00 00 00 00 00 00 00 
  9677)     13886.2  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
  9678)     13886.6  Rx     18110381  8  0C EC 0C EB 0C E9 0C E6 
  9679)     13889.0  Rx     18110481  8  0C E2 0C E9 0C EB 0C E9 
  9680)     13890.7  Rx     18110581  8  0C EA 0C E9 0C E8 0C EA 
  9681)     13893.6  Rx     18110681  8  0C E9 0C E9 0C E9 0C E9 
  9682)     13894.6  Rx     18110781  8  0C EA 0C EA 0C EA 0C EA 
  9683)     13896.6  Rx     18110881  8  0C EA 0C EA 0C EA 0C EB 
  9684)     13898.6  Rx     18110981  8  0C EA 0C EA 0C EA 0C E8 
  9685)     13900.6  Rx     18110A81  8  0C E4 0C E9 0C E9 0C E9 
  9686)     13902.6  Rx     18110B81  8  0C E7 0C E7 0C E8 0C EA 
  9687)     13904.6  Rx     18110C81  8  0C E7 0C E7 0C E7 0C E7 
  9688)     13906.6  Rx     18130181  8  0C EC 0C E3 34 33 06 32 
  9689)     13908.5  Rx     18130281  6  30 18 08 0D 0C 01 
  9690)     13910.6  Rx     18130381  8  03 36 03 27 00 09 00 0F 
  9691)     13918.7  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
  9692)     13918.8  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
  9693)     13919.6  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
  9694)     13919.6  Rx     1803F401  8  0C 94 08 01 8B 08 0C 00 
  9695)     13920.4  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
  9696)     13921.5  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
  9697)     13921.6  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
  9698)     13922.4  Rx     1807F401  8  00 01 5F A8 02 A0 7F 00 
  9699)     13922.7  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
  9700)     13923.3  Rx     1809F401  8  00 00 00 00 00 00 00 00 
  9701)     13924.4  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
  9702)     13924.5  Rx     1812F401  8  92 08 98 08 86 08 90 08 
  9703)     13925.7  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
  9704)     13925.7  Rx     1814F401  8  94 08 91 08 91 08 94 08 
  9705)     13925.8  Rx     1815F401  8  94 08 92 08 94 08 8F 08 
  9706)     13926.4  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
  9707)     13927.6  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
  9708)     13927.8  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
  9709)     13930.2  Rx     1819F401  8  92 08 91 08 93 08 93 08 
  9710)     13930.6  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
  9711)     13931.1  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
  9712)     13932.3  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
  9713)     13932.7  Rx     1824F401  8  00 00 00 00 00 00 00 00 
  9714)     13933.2  Rx     1825F401  8  00 00 00 00 00 00 00 00 
  9715)     13933.7  Rx     1826F401  8  00 00 00 00 00 00 00 00 
  9716)     13934.2  Rx     1827F401  8  00 00 00 00 00 00 00 00 
  9717)     13934.5  Rx     1828F401  8  00 00 00 00 00 00 00 00 
  9718)     13934.7  Rx     1829F401  8  00 00 00 00 00 00 00 00 
  9719)     13934.8  Rx     182AF401  8  00 00 00 00 00 00 00 00 
  9720)     13935.2  Rx     182BF401  8  00 00 00 00 00 00 00 00 
  9721)     13935.5  Rx     182CF401  8  00 00 00 00 00 00 00 00 
  9722)     13936.1  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
  9723)     13968.3  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
  9724)     13968.3  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
  9725)     13970.0  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
  9726)     13970.0  Rx     1803F401  8  0C 95 08 07 8B 08 0C 00 
  9727)     13970.1  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
  9728)     13971.1  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
  9729)     13972.0  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
  9730)     13972.0  Rx     1807F401  8  00 01 5F A8 02 A0 84 00 
  9731)     13973.0  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
  9732)     13973.0  Rx     1809F401  8  00 00 00 00 00 00 00 00 
  9733)     13974.3  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
  9734)     13974.5  Rx     1812F401  8  92 08 98 08 86 08 90 08 
  9735)     13975.1  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
  9736)     13975.1  Rx     1814F401  8  94 08 91 08 91 08 94 08 
  9737)     13976.8  Rx     1815F401  8  94 08 92 08 95 08 8F 08 
  9738)     13977.4  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
  9739)     13977.4  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
  9740)     13977.5  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
  9741)     13978.0  Rx     1819F401  8  92 08 91 08 93 08 93 08 
  9742)     13979.3  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
  9743)     13979.5  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
  9744)     13980.1  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
  9745)     13980.1  Rx     1824F401  8  00 00 00 00 00 00 00 00 
  9746)     13980.6  Rx     1825F401  8  00 00 00 00 00 00 00 00 
  9747)     13981.6  Rx     1826F401  8  00 00 00 00 00 00 00 00 
  9748)     13982.6  Rx     1827F401  8  00 00 00 00 00 00 00 00 
  9749)     13982.6  Rx     1828F401  8  00 00 00 00 00 00 00 00 
  9750)     13982.8  Rx     18130181  8  0C EC 0C E2 34 33 06 32 
  9751)     13983.6  Rx     1829F401  8  00 00 00 00 00 00 00 00 
  9752)     13983.6  Rx     182AF401  8  00 00 00 00 00 00 00 00 
  9753)     13984.7  Rx     182BF401  8  00 00 00 00 00 00 00 00 
  9754)     13985.1  Rx     18130281  6  30 18 08 0D 0C 01 
  9755)     13985.6  Rx     182CF401  8  00 00 00 00 00 00 00 00 
  9756)     13985.6  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
  9757)     13986.9  Rx     18130381  8  03 36 03 27 00 0A 00 0F 
  9758)     14018.5  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
  9759)     14018.5  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
  9760)     14019.0  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
  9761)     14020.1  Rx     1803F401  8  0C 95 08 07 8B 08 0C 00 
  9762)     14020.1  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
  9763)     14021.1  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
  9764)     14022.1  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
  9765)     14022.1  Rx     1807F401  8  00 01 5F A8 02 A0 84 00 
  9766)     14023.0  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
  9767)     14023.1  Rx     1809F401  8  00 00 00 00 00 00 00 00 
  9768)     14024.0  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
  9769)     14024.1  Rx     1812F401  8  92 08 98 08 86 08 90 08 
  9770)     14025.0  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
  9771)     14025.1  Rx     1814F401  8  94 08 91 08 91 08 94 08 
  9772)     14026.0  Rx     1815F401  8  94 08 92 08 95 08 8F 08 
  9773)     14027.1  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
  9774)     14027.1  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
  9775)     14028.1  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
  9776)     14028.2  Rx     1819F401  8  92 08 90 08 93 08 93 08 
  9777)     14029.3  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
  9778)     14029.5  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
  9779)     14030.4  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
  9780)     14030.5  Rx     1824F401  8  00 00 00 00 00 00 00 00 
  9781)     14031.3  Rx     1825F401  8  00 00 00 00 00 00 00 00 
  9782)     14031.3  Rx     1826F401  8  00 00 00 00 00 00 00 00 
  9783)     14032.9  Rx     1827F401  8  00 00 00 00 00 00 00 00 
  9784)     14033.0  Rx     1828F401  8  00 00 00 00 00 00 00 00 
  9785)     14033.9  Rx     1829F401  8  00 00 00 00 00 00 00 00 
  9786)     14034.0  Rx     182AF401  8  00 00 00 00 00 00 00 00 
  9787)     14034.9  Rx     182BF401  8  00 00 00 00 00 00 00 00 
  9788)     14035.0  Rx     182CF401  8  00 00 00 00 00 00 00 00 
  9789)     14036.1  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
  9790)     14068.2  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
  9791)     14069.3  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
  9792)     14069.3  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
  9793)     14070.6  Rx     1803F401  8  0C 94 08 01 8B 08 0C 00 
  9794)     14070.6  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
  9795)     14071.7  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
  9796)     14071.7  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
  9797)     14072.3  Rx     1807F401  8  00 01 5F A8 02 A0 80 00 
  9798)     14072.3  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
  9799)     14073.3  Rx     1809F401  8  00 00 00 00 00 00 00 00 
  9800)     14074.3  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
  9801)     14074.3  Rx     1812F401  8  92 08 98 08 86 08 90 08 
  9802)     14075.3  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
  9803)     14075.3  Rx     1814F401  8  94 08 91 08 91 08 94 08 
  9804)     14076.3  Rx     1815F401  8  94 08 92 08 94 08 8F 08 
  9805)     14076.3  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
  9806)     14077.7  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
  9807)     14078.3  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
  9808)     14078.3  Rx     1819F401  8  92 08 90 08 93 08 93 08 
  9809)     14079.2  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
  9810)     14079.3  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
  9811)     14080.5  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
  9812)     14080.5  Rx     1824F401  8  00 00 00 00 00 00 00 00 
  9813)     14081.4  Rx     1825F401  8  00 00 00 00 00 00 00 00 
  9814)     14081.4  Rx     1826F401  8  00 00 00 00 00 00 00 00 
  9815)     14082.4  Rx     1827F401  8  00 00 00 00 00 00 00 00 
  9816)     14082.9  Rx     18130181  8  0C EC 0C E2 34 33 06 32 
  9817)     14083.4  Rx     1828F401  8  00 00 00 00 00 00 00 00 
  9818)     14083.4  Rx     1829F401  8  00 00 00 00 00 00 00 00 
  9819)     14084.4  Rx     182AF401  8  00 00 00 00 00 00 00 00 
  9820)     14084.4  Rx     182BF401  8  00 00 00 00 00 00 00 00 
  9821)     14084.6  Rx     18130281  6  30 18 08 0D 0C 01 
  9822)     14085.4  Rx     182CF401  8  00 00 00 00 00 00 00 00 
  9823)     14085.5  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
  9824)     14087.5  Rx     18130381  8  03 36 03 27 00 0A 00 0F 
  9825)     14118.5  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
  9826)     14119.6  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
  9827)     14119.6  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
  9828)     14119.8  Rx     1803F401  8  0C 94 08 01 8B 08 0C 00 
  9829)     14120.4  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
  9830)     14121.4  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
  9831)     14121.4  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
  9832)     14122.4  Rx     1807F401  8  00 01 5F A8 02 A0 80 00 
  9833)     14122.4  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
  9834)     14123.9  Rx     1809F401  8  00 00 00 00 00 00 00 00 
  9835)     14123.9  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
  9836)     14124.9  Rx     1812F401  8  92 08 98 08 86 08 90 08 
  9837)     14125.0  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
  9838)     14125.9  Rx     1814F401  8  94 08 91 08 91 08 94 08 
  9839)     14126.0  Rx     1815F401  8  94 08 92 08 94 08 8F 08 
  9840)     14126.9  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
  9841)     14126.9  Rx     1817F401  8  8D 08 91 08 8D 08 92 08 
  9842)     14127.9  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
  9843)     14127.9  Rx     1819F401  8  92 08 90 08 93 08 93 08 
  9844)     14128.9  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
  9845)     14130.0  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
  9846)     14130.0  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
  9847)     14130.9  Rx     1824F401  8  00 00 00 00 00 00 00 00 
  9848)     14131.0  Rx     1825F401  8  00 00 00 00 00 00 00 00 
  9849)     14132.2  Rx     1826F401  8  00 00 00 00 00 00 00 00 
  9850)     14132.2  Rx     1827F401  8  00 00 00 00 00 00 00 00 
  9851)     14133.3  Rx     1828F401  8  00 00 00 00 00 00 00 00 
  9852)     14133.3  Rx     1829F401  8  00 00 00 00 00 00 00 00 
  9853)     14134.6  Rx     182AF401  8  00 00 00 00 00 00 00 00 
  9854)     14135.2  Rx     182BF401  8  00 00 00 00 00 00 00 00 
  9855)     14135.2  Rx     182CF401  8  00 00 00 00 00 00 00 00 
  9856)     14135.9  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
  9857)     14168.7  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
  9858)     14168.8  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
  9859)     14169.7  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
  9860)     14169.8  Rx     1803F401  8  0C 95 08 07 8B 08 0C 00 
  9861)     14170.7  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
  9862)     14170.7  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
  9863)     14171.3  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
  9864)     14172.3  Rx     1807F401  8  00 01 5F A8 02 A0 7F 00 
  9865)     14173.3  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
  9866)     14173.4  Rx     1809F401  8  00 00 00 00 00 00 00 00 
  9867)     14174.3  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
  9868)     14174.3  Rx     1812F401  8  92 08 98 08 86 08 90 08 
  9869)     14175.6  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
  9870)     14175.8  Rx     1814F401  8  94 08 91 08 91 08 94 08 
  9871)     14176.3  Rx     1815F401  8  94 08 92 08 95 08 8F 08 
  9872)     14176.3  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
  9873)     14177.3  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
  9874)     14179.4  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
  9875)     14179.6  Rx     1819F401  8  92 08 90 08 93 08 93 08 
  9876)     14179.8  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
  9877)     14180.2  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
  9878)     14180.5  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
  9879)     14180.7  Rx     1824F401  8  00 00 00 00 00 00 00 00 
  9880)     14181.4  Rx     1825F401  8  00 00 00 00 00 00 00 00 
  9881)     14182.5  Rx     1826F401  8  00 00 00 00 00 00 00 00 
  9882)     14182.5  Rx     1827F401  8  00 00 00 00 00 00 00 00 
  9883)     14182.8  Rx     18130181  8  0C EC 0C E2 34 33 06 32 
  9884)     14182.8  Rx     1828F401  8  00 00 00 00 00 00 00 00 
  9885)     14183.7  Rx     1829F401  8  00 00 00 00 00 00 00 00 
  9886)     14184.6  Rx     182AF401  8  00 00 00 00 00 00 00 00 
  9887)     14184.6  Rx     182BF401  8  00 00 00 00 00 00 00 00 
  9888)     14185.5  Rx     182CF401  8  00 00 00 00 00 00 00 00 
  9889)     14185.6  Rx     18130281  6  30 18 08 0D 0C 01 
  9890)     14185.6  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
  9891)     14186.7  Rx     18130381  8  03 36 03 27 00 0A 00 0F 
  9892)     14218.4  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
  9893)     14219.2  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
  9894)     14220.2  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
  9895)     14220.4  Rx     1803F401  8  0C 94 08 01 8B 08 0C 00 
  9896)     14221.2  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
  9897)     14221.2  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
  9898)     14222.2  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
  9899)     14223.2  Rx     1807F401  8  00 01 5F A8 02 A0 7F 00 
  9900)     14223.2  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
  9901)     14224.5  Rx     1809F401  8  00 00 00 00 00 00 00 00 
  9902)     14224.6  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
  9903)     14225.2  Rx     1812F401  8  92 08 98 08 86 08 90 08 
  9904)     14225.2  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
  9905)     14226.9  Rx     1814F401  8  94 08 91 08 91 08 94 08 
  9906)     14227.1  Rx     1815F401  8  94 08 92 08 94 08 8F 08 
  9907)     14227.2  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
  9908)     14228.2  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
  9909)     14228.2  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
  9910)     14229.2  Rx     1819F401  8  92 08 91 08 93 08 93 08 
  9911)     14229.2  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
  9912)     14230.3  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
  9913)     14230.4  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
  9914)     14231.3  Rx     1824F401  8  00 00 00 00 00 00 00 00 
  9915)     14231.3  Rx     1825F401  8  00 00 00 00 00 00 00 00 
  9916)     14232.9  Rx     1826F401  8  00 00 00 00 00 00 00 00 
  9917)     14233.0  Rx     1827F401  8  00 00 00 00 00 00 00 00 
  9918)     14233.9  Rx     1828F401  8  00 00 00 00 00 00 00 00 
  9919)     14234.0  Rx     1829F401  8  00 00 00 00 00 00 00 00 
  9920)     14235.0  Rx     182AF401  8  00 00 00 00 00 00 00 00 
  9921)     14235.0  Rx     182BF401  8  00 00 00 00 00 00 00 00 
  9922)     14235.9  Rx     182CF401  8  00 00 00 00 00 00 00 00 
  9923)     14236.0  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
  9924)     14268.1  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
  9925)     14269.2  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
  9926)     14269.2  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
  9927)     14270.2  Rx     1803F401  8  0C 94 08 01 8B 08 0C 00 
  9928)     14270.2  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
  9929)     14271.2  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
  9930)     14272.2  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
  9931)     14272.2  Rx     1807F401  8  00 01 5F A8 02 A0 7F 00 
  9932)     14273.9  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
  9933)     14273.9  Rx     1809F401  8  00 00 00 00 00 00 00 00 
  9934)     14274.0  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
  9935)     14274.8  Rx     1812F401  8  92 08 98 08 86 08 90 08 
  9936)     14275.0  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
  9937)     14275.8  Rx     1814F401  8  94 08 91 08 91 08 94 08 
  9938)     14275.9  Rx     1815F401  8  94 08 92 08 94 08 8F 08 
  9939)     14276.9  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
  9940)     14276.9  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
  9941)     14277.8  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
  9942)     14278.8  Rx     1819F401  8  92 08 91 08 93 08 93 08 
  9943)     14278.9  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
  9944)     14279.4  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
  9945)     14280.9  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
  9946)     14281.0  Rx     1824F401  8  00 00 00 00 00 00 00 00 
  9947)     14281.4  Rx     1825F401  8  00 00 00 00 00 00 00 00 
  9948)     14281.5  Rx     1826F401  8  00 00 00 00 00 00 00 00 
  9949)     14282.4  Rx     1827F401  8  00 00 00 00 00 00 00 00 
  9950)     14283.3  Rx     18130181  8  0C EC 0C E2 34 33 06 32 
  9951)     14283.5  Rx     1828F401  8  00 00 00 00 00 00 00 00 
  9952)     14283.6  Rx     1829F401  8  00 00 00 00 00 00 00 00 
  9953)     14284.5  Rx     182AF401  8  00 00 00 00 00 00 00 00 
  9954)     14284.5  Rx     182BF401  8  00 00 00 00 00 00 00 00 
  9955)     14284.9  Rx     18130281  6  30 18 08 0D 0C 01 
  9956)     14285.6  Rx     182CF401  8  00 00 00 00 00 00 00 00 
  9957)     14286.5  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
  9958)     14286.7  Rx     18130381  8  03 36 03 27 00 0A 00 0F 
  9959)     14318.7  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
  9960)     14318.8  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
  9961)     14320.0  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
  9962)     14321.5  Rx     1803F401  8  0C 94 08 01 8B 08 0C 00 
  9963)     14321.8  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
  9964)     14321.9  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
  9965)     14321.9  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
  9966)     14322.6  Rx     1807F401  8  00 01 5F A8 02 A0 7F 00 
  9967)     14323.6  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
  9968)     14323.7  Rx     1809F401  8  00 00 00 00 00 00 00 00 
  9969)     14324.7  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
  9970)     14324.7  Rx     1812F401  8  92 08 98 08 86 08 90 08 
  9971)     14325.6  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
  9972)     14325.7  Rx     1814F401  8  94 08 91 08 91 08 94 08 
  9973)     14326.7  Rx     1815F401  8  94 08 92 08 94 08 8F 08 
  9974)     14326.8  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
  9975)     14327.2  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
  9976)     14329.2  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
  9977)     14329.3  Rx     1819F401  8  92 08 91 08 93 08 93 08 
  9978)     14329.3  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
  9979)     14330.0  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
  9980)     14330.0  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
  9981)     14330.5  Rx     1824F401  8  00 00 00 00 00 00 00 00 
  9982)     14331.4  Rx     1825F401  8  00 00 00 00 00 00 00 00 
  9983)     14332.4  Rx     1826F401  8  00 00 00 00 00 00 00 00 
